# theta0 tp xi source_id nsteps_pt nsteps_noPT
2.88 6.9711257572e+00 5.8164614570e+00 1 23239 23251
2.88 7.4785612673e+00 6.3410715578e+00 1 23239 23251
2.88 8.0229335370e+00 6.9231138000e+00 1 23239 23251
2.88 8.6069312317e+00 7.5689474064e+00 1 23239 23251
2.88 9.2334387273e+00 8.2856640040e+00 1 23239 23251
2.88 9.9055503565e+00 9.0811417562e+00 1 23239 23251
2.88 1.0626585692e+01 9.9641232549e+00 1 23239 23251
2.88 1.1400105941e+01 1.0944365011e+01 1 23239 23251
2.88 1.2229931535e+01 1.2032662932e+01 1 23239 23251
2.88 1.3120160999e+01 1.3241061263e+01 1 23239 23251
2.88 1.4075191193e+01 1.4582929138e+01 1 23239 23251
2.88 1.5099739031e+01 1.6073113612e+01 1 23239 23251
2.88 1.6198864774e+01 1.7728148954e+01 1 23239 23251
2.88 1.7377997026e+01 1.9566382446e+01 1 23239 23251
2.88 1.8642959543e+01 2.1608217293e+01 1 23239 23251
2.88 2.0000000000e+01 2.3876334776e+01 1 23239 23251
2.88 2.2684969009e+01 2.8590644972e+01 1 23239 23251
2.88 2.5730390946e+01 3.4283710594e+01 1 23239 23251
2.88 2.9184656059e+01 4.1159409625e+01 1 23239 23251
2.88 3.3102650911e+01 4.9464083668e+01 1 23239 23251
2.88 3.7546630501e+01 5.9495264809e+01 1 23239 23251
2.88 4.2587207465e+01 7.1612393238e+01 1 23239 23251
2.88 4.8304474075e+01 8.6249453492e+01 1 23239 23251
2.88 5.4789274868e+01 1.0393063331e+02 1 23239 23251
2.88 6.2144650119e+01 1.2528891969e+02 1 23239 23251
2.88 7.0487473100e+01 1.5108855313e+02 1 23239 23251
2.88 7.9950307138e+01 1.8225217208e+02 1 23239 23251
2.88 9.0683511982e+01 2.1989372949e+02 1 23239 23251
